[70, 95, 118, 129, 134, 142, 158, 173, 182, 189, 200, 212]
[70, 95, 118, 129, 134, 142, 158, 173, 182, 189, 200, 212]
[70, 95, 127, 134, 142, 158, 173, 182, 187, 190, 201, 212]
[70, 95, 118, 129, 134, 142, 158, 173, 182, 189, 200, 212]
[70, 95, 118, 129, 134, 142, 158, 173, 182, 189, 200, 212]
[70, 95, 118, 129, 134, 142, 158, 173, 182, 189, 200, 212]
[70, 95, 118, 129, 134, 142, 158, 173, 182, 189, 200, 212]
[70, 95, 118, 129, 134, 142, 158, 173, 182, 189, 200, 212]
[70, 95, 118, 129, 134, 142, 158, 173, 182, 189, 200, 212]
[70, 95, 118, 129, 134, 142, 158, 173, 182, 189, 200, 212]
