MAT,,,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237
MT,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
E,,,"(1e-05, 8.31529]","(8.31529, 55.3314]","(55.3314, 172.563]","(172.563, 468.471]","(468.471, 954.816]","(954.816, 1461.03]","(1461.03, 1807.29]","(1807.29, 3966.37]","(3966.37, 5533.14]","(5533.14, 8704.8]","(8704.8, 15301.7]","(15301.7, 23414.1]","(23414.1, 47721.6]","(47721.6, 104732.0]","(104732.0, 264050.0]","(264050.0, 306157.0]","(306157.0, 468471.0]","(468471.0, 823498.0]","(823498.0, 2095490.0]","(2095490.0, 3420870.0]","(3420870.0, 6535230.0]","(6535230.0, 20000000.0]","(1e-05, 8.31529]","(8.31529, 55.3314]","(55.3314, 172.563]","(172.563, 468.471]","(468.471, 954.816]","(954.816, 1461.03]","(1461.03, 1807.29]","(1807.29, 3966.37]","(3966.37, 5533.14]","(5533.14, 8704.8]","(8704.8, 15301.7]","(15301.7, 23414.1]","(23414.1, 47721.6]","(47721.6, 104732.0]","(104732.0, 264050.0]","(264050.0, 306157.0]","(306157.0, 468471.0]","(468471.0, 823498.0]","(823498.0, 2095490.0]","(2095490.0, 3420870.0]","(3420870.0, 6535230.0]","(6535230.0, 20000000.0]","(1e-05, 8.31529]","(8.31529, 55.3314]","(55.3314, 172.563]","(172.563, 468.471]","(468.471, 954.816]","(954.816, 1461.03]","(1461.03, 1807.29]","(1807.29, 3966.37]","(3966.37, 5533.14]","(5533.14, 8704.8]","(8704.8, 15301.7]","(15301.7, 23414.1]","(23414.1, 47721.6]","(47721.6, 104732.0]","(104732.0, 264050.0]","(264050.0, 306157.0]","(306157.0, 468471.0]","(468471.0, 823498.0]","(823498.0, 2095490.0]","(2095490.0, 3420870.0]","(3420870.0, 6535230.0]","(6535230.0, 20000000.0]"
MAT,MT,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9237,2,"(1461.03, 1807.29]",-1.891922e-06,1.959298e-06,3.152256e-06,3.30333e-06,1.897974e-05,2.18897e-05,2.18897e-05,1.321136e-05,1.45301e-06,1.45301e-06,1.45301e-06,3.038042e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82849e-09,1.731074e-08,2.038795e-07,6.82232e-07,1.075594e-06,1.07735e-06,1.07735e-06,3.97512e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.746776e-07,-3.492991e-07,-4.691111e-06,-7.32869e-06,-7.941507e-05,-9.57225e-05,-9.57225e-05,-6.131197e-05,-1.30715e-05,-1.30715e-05,-1.30715e-05,-2.9085e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(1807.29, 3966.37]",-1.125888e-06,1.126884e-06,1.795144e-06,1.87557e-06,1.143658e-05,1.321136e-05,1.321136e-05,0.0002730388,0.0006250812,0.0006250812,0.0006250812,0.000607879,0.0004528498,0.0004257655,0.0002350474,0.0002350474,0.0001939048,0.0001323996,-0.0001914523,8.413667e-05,-3.081172e-05,0.0001670273,2.778096e-09,9.959818e-09,1.173031e-07,3.925256e-07,6.188485e-07,6.198587e-07,6.198587e-07,0.0004675694,0.0007406021,0.0007406021,0.0007406021,0.0008417754,0.000805485,0.0006726084,-0.0006212174,-0.0006212174,-0.0003497094,-0.0001815455,0.000280289,0.0003506426,0.0006539229,0.0004320042,1.004764e-07,-2.159294e-07,-2.710702e-06,-4.216598e-06,-4.806366e-05,-5.798277e-05,-5.798277e-05,3.275843e-05,0.0001599694,0.0001599694,0.0001599694,0.0002169359,0.0001020149,5.9388e-05,-0.0003995867,-0.0003995867,-0.0004060831,-0.0004151359,6.485005e-05,0.0007088904,0.0009754987,0.001422196
9237,2,"(3966.37, 5533.14]",-8.798064e-08,-9.58778e-10,-4.361971e-08,-5.89129e-08,1.216297e-06,1.45301e-06,1.45301e-06,0.0006250812,0.00147004,0.00147004,0.00147004,0.001431087,0.00106642,0.001002639,0.000553515,0.000553515,0.0004566279,0.000311789,-0.0004508526,0.0001981341,-7.255876e-05,0.0003933339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001100544,0.00174405,0.00174405,0.00174405,0.001982304,0.001896843,0.001583931,-0.00146291,-0.00146291,-0.0008235335,-0.000427523,0.0006600549,0.0008257311,0.001539928,0.00101733,-5.94783e-11,-3.522566e-08,-2.743011e-08,0.0,-5.585373e-06,-6.8489e-06,-6.8489e-06,0.0001602152,0.000394424,0.000394424,0.000394424,0.0005148048,0.0002402357,0.0001398533,-0.00094099,-0.00094099,-0.0009562884,-0.000977607,0.0001527159,0.001669372,0.00229721,0.00334914
9237,2,"(5533.14, 8704.8]",-8.798064e-08,-9.58778e-10,-4.361971e-08,-5.89129e-08,1.216297e-06,1.45301e-06,1.45301e-06,0.0006250812,0.00147004,0.00147004,0.00147004,0.001431087,0.00106642,0.001002639,0.000553515,0.000553515,0.0004566279,0.000311789,-0.0004508526,0.0001981341,-7.255876e-05,0.0003933339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001100544,0.00174405,0.00174405,0.00174405,0.001982304,0.001896843,0.001583931,-0.00146291,-0.00146291,-0.0008235335,-0.000427523,0.0006600549,0.0008257311,0.001539928,0.00101733,-5.94783e-11,-3.522566e-08,-2.743011e-08,0.0,-5.585373e-06,-6.8489e-06,-6.8489e-06,0.0001602152,0.000394424,0.000394424,0.000394424,0.0005148048,0.0002402357,0.0001398533,-0.00094099,-0.00094099,-0.0009562884,-0.000977607,0.0001527159,0.001669372,0.00229721,0.00334914
9237,2,"(8704.8, 15301.7]",-8.798064e-08,-9.58778e-10,-4.361971e-08,-5.89129e-08,1.216297e-06,1.45301e-06,1.45301e-06,0.0006250812,0.00147004,0.00147004,0.00147004,0.001431087,0.00106642,0.001002639,0.000553515,0.000553515,0.0004566279,0.000311789,-0.0004508526,0.0001981341,-7.255876e-05,0.0003933339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001100544,0.00174405,0.00174405,0.00174405,0.001982304,0.001896843,0.001583931,-0.00146291,-0.00146291,-0.0008235335,-0.000427523,0.0006600549,0.0008257311,0.001539928,0.00101733,-5.94783e-11,-3.522566e-08,-2.743011e-08,0.0,-5.585373e-06,-6.8489e-06,-6.8489e-06,0.0001602152,0.000394424,0.000394424,0.000394424,0.0005148048,0.0002402357,0.0001398533,-0.00094099,-0.00094099,-0.0009562884,-0.000977607,0.0001527159,0.001669372,0.00229721,0.00334914
9237,2,"(15301.7, 23414.1]",-1.839553e-08,-2.00467e-10,-9.120275e-09,-1.231787e-08,2.543108e-07,3.038042e-07,3.038042e-07,0.000607879,0.001431087,0.001431087,0.001431087,0.001395238,0.001040051,0.0009779542,0.0005412796,0.0005412796,0.0004465259,0.0003048764,-0.000454259,0.0001999012,-5.579512e-05,0.0003856558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001037749,0.001644537,0.001644537,0.001644537,0.001893175,0.001841037,0.001534843,-0.00148326,-0.00148326,-0.0008190721,-0.000407694,0.0006456249,0.0007980657,0.001487402,0.0009758284,-1.24361e-11,-7.365197e-09,-5.735255e-09,0.0,-1.167824e-06,-1.43201e-06,-1.43201e-06,0.000154902,0.0003740682,0.0003740682,0.0003740682,0.0004997159,0.000250285,0.0001545813,-0.000887332,-0.000887332,-0.0008932743,-0.0009015551,0.0002152565,0.001689533,0.002305441,0.003291129
9237,2,"(23414.1, 47721.6]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004528498,0.00106642,0.00106642,0.00106642,0.001040051,0.0007767531,0.0007304946,0.0004041768,0.0004041768,0.0003319573,0.0002239947,-0.0003450364,0.0001454612,-4.043804e-05,0.0002863689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000775135,0.001228369,0.001228369,0.001228369,0.001406938,0.001354255,0.00112715,-0.001094628,-0.001094628,-0.0006129366,-0.0003145916,0.000470511,0.0005834157,0.001086239,0.0007164818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001258393,0.0003022547,0.0003022547,0.0003022547,0.0003963798,0.0002048393,0.00013253,-0.0006511553,-0.0006511553,-0.0006579118,-0.000667327,0.0001548749,0.001239704,0.001684607,0.002410703
9237,2,"(47721.6, 104732.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004257655,0.001002639,0.001002639,0.001002639,0.0009779542,0.0007304946,0.0006870064,0.0003801935,0.0003801935,0.000312175,0.0002104925,-0.0003255669,0.0001368489,-3.726082e-05,0.000269313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007274341,0.001152776,0.001152776,0.001152776,0.001321021,0.001272051,0.001058512,-0.001031186,-0.001031186,-0.0005772449,-0.0002960877,0.0004417718,0.0005474657,0.001019314,0.0006722731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001187424,0.0002852085,0.0002852085,0.0002852085,0.000374189,0.0001945712,0.000126613,-0.0006102245,-0.0006102245,-0.000616325,-0.0006248262,0.0001483105,0.001167338,0.001585004,0.002265481
9237,2,"(104732.0, 264050.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002350474,0.000553515,0.000553515,0.000553515,0.0005412796,0.0004041768,0.0003801935,0.000211833,0.000211833,0.0001745569,0.000118832,-0.0001901205,8.21804e-05,-9.189888e-06,0.0001513238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003754352,0.000594958,0.000594958,0.000594958,0.0007035911,0.0007061586,0.0005864988,-0.000619619,-0.000619619,-0.0003315495,-0.000153128,0.0002492447,0.0003007519,0.0005611275,0.0003632988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.879695e-05,0.000141225,0.000141225,0.000141225,0.0001976469,0.0001146878,7.907651e-05,-0.000317411,-0.000317411,-0.0003130217,-0.000306905,0.0001363403,0.0007027333,0.0009425948,0.001292206
9237,2,"(264050.0, 306157.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002350474,0.000553515,0.000553515,0.000553515,0.0005412796,0.0004041768,0.0003801935,0.000211833,0.000211833,0.0001745569,0.000118832,-0.0001901205,8.21804e-05,-9.189888e-06,0.0001513238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003754352,0.000594958,0.000594958,0.000594958,0.0007035911,0.0007061586,0.0005864988,-0.000619619,-0.000619619,-0.0003315495,-0.000153128,0.0002492447,0.0003007519,0.0005611275,0.0003632988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.879695e-05,0.000141225,0.000141225,0.000141225,0.0001976469,0.0001146878,7.907651e-05,-0.000317411,-0.000317411,-0.0003130217,-0.000306905,0.0001363403,0.0007027333,0.0009425948,0.001292206
