MAT,,,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437
MT,,,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,102,102,102,102,102,102,102,102,102,102,102
E,,,"(1e-05, 404.041]","(404.041, 2235.62]","(2235.62, 9286.92]","(9286.92, 18928.2]","(18928.2, 27147.8]","(27147.8, 139501.0]","(139501.0, 823498.0]","(823498.0, 1356840.0]","(1356840.0, 2977800.0]","(2977800.0, 6069220.0]","(6069220.0, 20000000.0]","(1e-05, 404.041]","(404.041, 2235.62]","(2235.62, 9286.92]","(9286.92, 18928.2]","(18928.2, 27147.8]","(27147.8, 139501.0]","(139501.0, 823498.0]","(823498.0, 1356840.0]","(1356840.0, 2977800.0]","(2977800.0, 6069220.0]","(6069220.0, 20000000.0]","(1e-05, 404.041]","(404.041, 2235.62]","(2235.62, 9286.92]","(9286.92, 18928.2]","(18928.2, 27147.8]","(27147.8, 139501.0]","(139501.0, 823498.0]","(823498.0, 1356840.0]","(1356840.0, 2977800.0]","(2977800.0, 6069220.0]","(6069220.0, 20000000.0]"
MAT,MT,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9437,2,"(1e-05, 404.041]",0.003951879,0.001889608,0.0001541071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001944788,0.0003155789,4.387023e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003856291,0.002702716,0.0003278967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(404.041, 2235.62]",0.001889608,0.001262975,0.0001129993,1.53845e-05,1.558727e-05,1.650941e-05,1.380992e-05,1.410785e-05,1.934865e-05,1.387166e-05,1.283806e-05,0.000145121,0.0002173449,2.414597e-05,2.491937e-06,4.52214e-06,-6.649895e-07,-5.7163e-06,6.2158e-07,-2.254955e-06,-4.225561e-06,-3.769163e-06,0.001397872,0.001180111,0.0001714979,2.996097e-05,3.480465e-05,3.582692e-05,3.48139e-05,6.07393e-05,8.637201e-05,8.991802e-05,1.914455e-05
9437,2,"(2235.62, 9286.92]",0.0001541071,0.0001129993,0.0002020554,0.0002062941,0.0002090337,0.0002213124,0.0001850843,0.0001894309,0.0002600194,0.000186616,0.000172457,1.267206e-05,1.575375e-05,-6.365978e-05,3.62204e-05,6.319934e-05,-6.584199e-06,-7.601403e-05,8.446292e-06,-2.975771e-05,-5.683027e-05,-5.016243e-05,0.000127386,0.0001273722,0.0002735831,0.0003957903,0.0004601305,0.0004737,0.0004692318,0.0008286627,0.001177686,0.001238366,0.0002586413
9437,2,"(9286.92, 18928.2]",0.0,1.53845e-05,0.0002062941,0.0002201687,0.0002231402,0.0002360883,0.0001973348,0.000202651,0.0002787169,0.0002004404,0.0001847222,0.0,-3.609656e-06,-6.376516e-05,4.460156e-05,7.288532e-05,-2.095961e-06,-7.985723e-05,9.177473e-06,-3.078579e-05,-6.107794e-05,-5.283214e-05,0.0,1.504589e-05,0.0002644433,0.0004095302,0.000476896,0.0004911112,0.0005062706,0.0009157847,0.00129932,0.001392772,0.0002802409
9437,2,"(18928.2, 27147.8]",0.0,1.558727e-05,0.0002090337,0.0002231402,0.0002261717,0.0002392745,0.0001999824,0.0002054559,0.0002826456,0.0002033084,0.000187306,0.0,-3.623767e-06,-6.370806e-05,4.594781e-05,7.455357e-05,-1.509433e-06,-8.076312e-05,9.333119e-06,-3.107551e-05,-6.194899e-05,-5.344934e-05,0.0,1.51638e-05,0.0002666748,0.0004134899,0.0004816168,0.0004960014,0.0005137346,0.0009318927,0.00132191,0.001420121,0.0002845355
9437,2,"(27147.8, 139501.0]",0.0,1.650941e-05,0.0002213124,0.0002360883,0.0002392745,0.0002532241,0.0002116666,0.0002171967,0.0002985824,0.0002146121,0.0001979183,0.0,-3.937928e-06,-7.012552e-05,4.644332e-05,7.689503e-05,-3.396828e-06,-8.572297e-05,9.949268e-06,-3.316749e-05,-6.523401e-05,-5.661634e-05,0.0,1.632336e-05,0.0002864947,0.0004426664,0.0005152938,0.0005306452,0.00054069,0.0009717469,0.00137957,0.001470806,0.0002991499
9437,2,"(139501.0, 823498.0]",0.0,1.380992e-05,0.0001850843,0.0001973348,0.0001999824,0.0002116666,0.0001769831,0.0001814272,0.000249259,0.0001790554,0.0001652563,0.0,-3.363059e-06,-6.0506e-05,3.727275e-05,6.285002e-05,-4.139696e-06,-7.212541e-05,8.077246e-06,-2.815348e-05,-5.460476e-05,-4.763534e-05,0.0,1.382179e-05,0.0002422177,0.0003731984,0.000434224,0.0004471262,0.0004506788,0.0008047648,0.001142958,0.001212099,0.0002489819
9437,2,"(823498.0, 1356840.0]",0.0,1.410785e-05,0.0001894309,0.000202651,0.0002054559,0.0002171967,0.0001814272,0.0001871968,0.0002580663,0.0001860888,0.0001708666,0.0,-2.994574e-06,-5.005239e-05,4.802922e-05,7.346569e-05,3.78026e-06,-7.24762e-05,8.144565e-06,-2.75924e-05,-5.724252e-05,-4.82723e-05,0.0,1.298048e-05,0.0002300229,0.0003611741,0.0004215456,0.0004342806,0.0004736631,0.0008835098,0.001250993,0.00137349,0.0002633699
9437,2,"(1356840.0, 2977800.0]",0.0,1.934865e-05,0.0002600194,0.0002787169,0.0002826456,0.0002985824,0.000249259,0.0002580663,0.0003566299,0.0002577255,0.0002359311,0.0,-3.759276e-06,-5.939136e-05,7.363383e-05,0.0001079662,1.144893e-05,-9.857634e-05,1.118317e-05,-3.674e-05,-7.959765e-05,-6.605624e-05,0.0,1.687998e-05,0.0003013133,0.0004789722,0.000560115,0.0005770993,0.000661295,0.001264028,0.001786374,0.001998399,0.0003689061
9437,2,"(2977800.0, 6069220.0]",0.0,1.387166e-05,0.000186616,0.0002004404,0.0002033084,0.0002146121,0.0001790554,0.0001860888,0.0002577255,0.0001867256,0.000170373,0.0,-2.432e-06,-3.560079e-05,5.862681e-05,8.281697e-05,1.28533e-05,-7.032689e-05,7.703855e-06,-2.578941e-05,-5.82417e-05,-4.754079e-05,0.0,1.139145e-05,0.0002051402,0.0003307107,0.0003876095,0.0003994395,0.0004834509,0.0009472361,0.001336379,0.001522959,0.000270478
9437,2,"(6069220.0, 20000000.0]",0.0,1.283806e-05,0.000172457,0.0001847222,0.000187306,0.0001979183,0.0001652563,0.0001708666,0.0002359311,0.000170373,0.0001561581,0.0,-2.576057e-06,-4.157717e-05,4.704387e-05,6.995212e-05,6.162163e-06,-6.545278e-05,7.584891e-06,-2.448154e-05,-5.237114e-05,-4.371716e-05,0.0,1.142167e-05,0.0002033356,0.0003217507,0.0003759883,0.000387373,0.0004357617,0.000825609,0.001167561,0.001297406,0.0002428617
9437,18,"(1e-05, 404.041]",0.0001944788,0.000145121,1.267206e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001008311,0.0009982812,7.343752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000100816,0.000188794,2.328943e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
