MAT,,,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237,9237
MT,,,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,102,102,102,102,102,102,102,102,102,102,102
E,,,"(1e-05, 504.442]","(504.442, 1678.42]","(1678.42, 10767.8]","(10767.8, 44730.4]","(44730.4, 97263.9]","(97263.9, 303339.0]","(303339.0, 504442.0]","(504442.0, 771881.0]","(771881.0, 1946060.0]","(1946060.0, 4270930.0]","(4270930.0, 20000000.0]","(1e-05, 504.442]","(504.442, 1678.42]","(1678.42, 10767.8]","(10767.8, 44730.4]","(44730.4, 97263.9]","(97263.9, 303339.0]","(303339.0, 504442.0]","(504442.0, 771881.0]","(771881.0, 1946060.0]","(1946060.0, 4270930.0]","(4270930.0, 20000000.0]","(1e-05, 504.442]","(504.442, 1678.42]","(1678.42, 10767.8]","(10767.8, 44730.4]","(44730.4, 97263.9]","(97263.9, 303339.0]","(303339.0, 504442.0]","(504442.0, 771881.0]","(771881.0, 1946060.0]","(1946060.0, 4270930.0]","(4270930.0, 20000000.0]"
MAT,MT,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9237,2,"(1e-05, 504.442]",0.000231993,4.670289e-06,5.548928e-07,-8.676797e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.487685e-06,-1.460436e-07,-2.15246e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001066323,-1.740832e-05,-1.676146e-06,1.519477e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(504.442, 1678.42]",4.670289e-06,2.05368e-05,5.321395e-06,2.74701e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.685111e-07,1.025973e-06,1.51937e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.409192e-06,-8.603791e-05,-3.089466e-05,-3.073239e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9237,2,"(1678.42, 10767.8]",5.548928e-07,5.321395e-06,0.0009450433,0.0009754428,0.0008339739,0.000449546,0.0003479971,0.000249814,-0.0003541241,0.0001592663,0.0002240478,7.761429e-08,2.13939e-07,0.001397361,0.001506947,0.001503239,-0.001159205,-0.000597021,-0.0003425433,0.0004830957,0.0006219673,0.0008682356,-6.362161e-07,-2.264336e-05,0.0002357989,0.0002756192,0.0001714259,-0.0007370363,-0.0007690941,-0.0007832859,1.313242e-05,0.001335348,0.002540187
9237,2,"(10767.8, 44730.4]",-8.676797e-09,2.74701e-07,0.0009754428,0.001009965,0.0008643462,0.0004668403,0.0003603139,0.000257225,-0.0003805502,0.0001697018,0.0002348107,0.0,0.0,0.001408534,0.00153291,0.001540641,-0.001233129,-0.0006281878,-0.0003545514,0.0004959728,0.0006314892,0.000880079,-4.088217e-09,-1.240772e-06,0.0002568188,0.0003027264,0.0002003668,-0.0007355834,-0.0007626182,-0.0007716242,5.710606e-05,0.001413899,0.002628254
9237,2,"(44730.4, 97263.9]",0.0,0.0,0.0008339739,0.0008643462,0.000740244,0.0003998853,0.0003076332,0.000218295,-0.0003305669,0.000144601,0.0002010615,0.0,0.0,0.001200242,0.001303363,0.00130634,-0.001054763,-0.0005407656,-0.000308257,0.0004183321,0.0005323619,0.0007443454,0.0,0.0,0.0002291359,0.0002711789,0.000183162,-0.0006201955,-0.0006437919,-0.000651889,5.332878e-05,0.001204877,0.002228548
9237,2,"(97263.9, 303339.0]",0.0,0.0,0.000449546,0.0004668403,0.0003998853,0.0002175374,0.0001681744,0.0001203742,-0.0001887748,8.664007e-05,0.0001126958,0.0,0.0,0.0006043342,0.0006841475,0.0007115514,-0.000620082,-0.0003000178,-0.0001555333,0.000232674,0.0002861579,0.0003936414,0.0,0.0,0.000110651,0.0001445926,0.0001074514,-0.0003144832,-0.0003171316,-0.0003122539,8.378171e-05,0.0007099666,0.001250203
