[56, 79, 95, 118, 129, 134, 142, 158, 173, 182, 189, 200, 212]
[70, 95, 118, 129, 134, 142, 158, 173, 182, 187, 190, 201, 212]
[70, 95, 118, 129, 134, 142, 158, 173, 182, 187, 190, 201, 212]
[56, 79, 95, 118, 129, 134, 142, 158, 173, 182, 189, 200, 212]
[56, 79, 95, 118, 129, 134, 142, 158, 173, 182, 189, 200, 212]
[70, 95, 118, 129, 134, 142, 158, 173, 182, 189, 200, 209, 216]
[70, 95, 118, 129, 134, 142, 158, 173, 182, 187, 190, 201, 212]
[70, 95, 118, 129, 134, 142, 158, 173, 182, 189, 200, 209, 216]
[56, 79, 95, 118, 129, 134, 142, 158, 173, 182, 189, 200, 212]
[70, 95, 118, 129, 134, 142, 158, 173, 182, 187, 190, 201, 212]
