1, 253.25678668102856
2, 215.8332689832594
3, 193.93813446560736
4, 153.07841127997116
5, 134.80356078383093
6, 125.44720004846661
7, 121.89749792346026
8, 102.73752965688828
9, 102.26925246622271
10, 100.99009852455833
11, 90.0166651237425
12, 87.49285685128815
13, 85.63293758829018
14, 84.90583018850944
15, 83.15046602394962
16, 80.66597795849252
17, 78.40280607223188
18, 73.91887445030531
19, 69.70652767137379
20, 66.69332800213226
21, 64.10148204214939
22, 61.54673021371647
23, 56.87706040223949
24, 55.09990925582364
25, 51.05878964487897
26, 48.40454524112379
27, 47.148700936505136
28, 44.181444068749045
29, 42.8485705712571
30, 41.41255848169731
31, 40.48456495999432
32, 40.19950248448356
33, 38.768543949960254
34, 38.535697735995385
35, 36.851051545376556
36, 36.30426972134269
37, 33.66006535941367
38, 33.391615714128
39, 32.341923257592455
40, 32.07802986469088
41, 31.575306807693888
42, 31.080540535840107
43, 30.773365106858236
44, 30.14962686336267
45, 29.478805945967352
46, 28.6705423736629
47, 28.106938645110393
48, 27.349588662354687
49, 26.49528259898354
50, 25.826343140289914
51, 25.495097567963924
52, 24.79919353527449
53, 24.24871130596428
54, 23.558437978779494
55, 22.978250586152114
56, 22.47220505424423
57, 22.315913604421397
58, 21.77154105707724
59, 21.330729007701542
60, 20.493901531919196
61, 20.396078054371138
62, 19.519221295943137
63, 19.026297590440446
64, 18.76166303929372
65, 18.303005217723125
66, 17.69180601295413
67, 17.378147196982766
68, 16.492422502470642
69, 16.217274740226856
70, 15.748015748023622
71, 14.798648586948742
72, 14.52583904633395
73, 14.247806848775006
74, 14.0
75, 13.527749258468683
76, 13.19090595827292
77, 12.609520212918492
78, 12.165525060596439
79, 11.916375287812984
80, 11.357816691600547
81, 10.862780491200215
82, 10.295630140987
83, 9.899494936611665
84, 9.486832980505138
85, 9.1104335791443
86, 8.831760866327848
87, 8.306623862918075
88, 7.745966692414834
89, 7.681145747868608
90, 7.211102550927978
91, 6.928203230275509
92, 6.48074069840786
93, 6.0
94, 5.916079783099616
95, 5.0990195135927845
96, 4.69041575982343
97, 4.242640687119285
98, 4.242640687119285
99, 4.0
100, 3.605551275463989
101, 3.4641016151377544
102, 3.4641016151377544
103, 3.1622776601683795
104, 3.0
105, 2.6457513110645907
106, 2.449489742783178
107, 2.23606797749979
108, 1.7320508075688772
109, 1.7320508075688772
110, 1.4142135623730951
111, 1.0
112, 1.0
113, 0.0
